multiplier,x,y
320,0.1796875,0.000896683705692
320,0.1953125,0.0009167762146867
320,0.2109375,0.0009350866449529
320,0.2265625,0.0009818336235371
320,0.2421875,0.0009734090860808
320,0.2578125,0.000996164341842
320,0.2734375,0.0010105203534696
320,0.2890625,0.0009974845817668
320,0.3046875,0.0010134285926404
320,0.3203125,0.001107667141896
320,0.3359375,0.0010908140129178
320,0.3515625,0.0011364432146858
320,0.3671875,0.0011214118116863
320,0.3828125,0.0011619411792244
320,0.3984375,0.0011145189767915
320,0.4140625,0.0011277460024424
320,0.4296875,0.0012450003823362
320,0.4453125,0.0012374349745462
320,0.4609375,0.0012688081297993
320,0.4765625,0.0013603978909017
320,0.4921875,0.0013916134989712
320,0.5078125,0.0012685414348835
320,0.5234375,0.0014376773786549
320,0.5390625,0.001436955162615
320,0.5546875,0.0014573420340005
320,0.5703125,0.0014838164080162
320,0.5859375,0.0016489526222948
320,0.6015625,0.0016134962163087
320,0.6171875,0.0016017237077846
320,0.6328125,0.001771047177888
320,0.6484375,0.0018347816355604
320,0.6640625,0.0017818829084306
320,0.6796875,0.0022448086731562
320,0.6953125,0.0018435683562118
320,0.7109375,0.0023816849620841
320,0.7265625,0.0023655979587801
320,0.7421875,0.0018838907983947
320,0.7578125,0.0025885330459694
320,0.7734375,0.0019728077377376
320,0.7890625,0.0024008019034064
320,0.8046875,0.0021856308630678
320,0.8203125,0.0025239625806256
320,0.8359375,0.0021772913181005
320,0.8515625,0.0016673513468095
320,0.8671875,0.0034388567059641
320,0.8828125,0.0023974934329845
320,0.8984375,0.0026556512033868
320,0.9140625,0.0026854553279873
320,0.9296875,0.0038809131354537
320,0.9453125,0.0023349561446404
320,0.9609375,0.0038975237382639
320,0.9765625,0.0030656622711723
320,0.9921875,0.0033472954285671
