corner,kind,x,y
LR LS,raw,0.865234375,0.0147191104630227
LR LS,raw,0.869140625,0.0148677460205875
LR LS,raw,0.873046875,0.011097478199614
LR LS,raw,0.876953125,0.0223164087586503
LR LS,raw,0.880859375,0.0136589076560145
LR LS,raw,0.884765625,0.0161527979941482
LR LS,raw,0.888671875,0.0182330072328264
LR LS,raw,0.892578125,0.0102234832646441
LR LS,raw,0.896484375,0.0146467096647001
LR LS,raw,0.900390625,0.0182161281812638
LR LS,raw,0.904296875,0.0202185705644312
LR LS,raw,0.908203125,0.0097074546754642
LR LS,raw,0.912109375,0.0137347257247733
LR LS,raw,0.916015625,0.0114029756688115
LR LS,raw,0.919921875,0.0160188022558254
LR LS,raw,0.923828125,0.0116717426434787
LR LS,raw,0.927734375,0.0137645683711593
LR LS,raw,0.931640625,0.0155898205583812
LR LS,raw,0.935546875,0.0170087289828543
LR LS,raw,0.939453125,0.0184018549819325
LR LS,raw,0.943359375,0.0141570562592956
LR LS,raw,0.947265625,0.0121408826004878
LR LS,raw,0.951171875,0.0199994097220888
LR LS,raw,0.955078125,0.0111643009077769
LR LS,raw,0.958984375,0.0145350903366293
LR LS,raw,0.962890625,0.0189654594168882
LR LS,raw,0.966796875,0.012296567813042
LR LS,raw,0.970703125,0.0137465132537638
LR LS,raw,0.974609375,0.0098018570440866
LR LS,raw,0.978515625,0.0100618956684419
LR LS,raw,0.982421875,0.0158044099555822
LR LS,raw,0.986328125,0.0145687503734161
LR LS,raw,0.990234375,0.0105722064953512
LR LS,raw,0.994140625,0.0167166329899771
LR LS,raw,0.998046875,0.00780242485655
LR LS,raw,1.001953125,0.0094994619432457
LR LS,raw,1.005859375,0.0104498057988761
LR LS,raw,1.009765625,0.012004813216751
LR LS,raw,1.013671875,0.0033852437601058
LR LS,raw,1.017578125,0.0216713649830144
LR LS,raw,1.021484375,0.0143601584895445
LR LS,raw,1.025390625,0.015999779026361
LR LS,raw,1.029296875,0.0153923010848859
LR LS,raw,1.033203125,0.0099024450546782
LR LS,raw,1.037109375,0.0135884035887292
LR LS,raw,1.041015625,0.0109746102668788
LR LS,raw,1.044921875,0.0149276137441507
LR LS,raw,1.048828125,0.0167111891547805
LR LS,raw,1.052734375,0.0154706397940213
